,Sr No,Date,Startup Name,Industry Vertical,Sub-Vertical,City,Investors Name,Investment Type,Amount (USD),Remarks
0,1,09-01-2020,BYJU'S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,200000000,No Remarks
1,2,13-01-2020,Shuttl,Transportation,App based shuttle service,Gurugram,Susquehanna Growth Equity,Series C,8048394,No Remarks
2,3,09-01-2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18358860,No Remarks
3,4,02-01-2020,wealthbucket,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,3000000,No Remarks
4,5,02-01-2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000,No Remarks
5,6,13-01-2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000,No Remarks
6,7,10-01-2020,Zomato,Hospitality,Online Food Delivery Platform,Gurugram,Ant Financial,Private Equity Round,150000000,No Remarks
7,8,12-12-2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000,No Remarks
8,9,06-12-2019,CarDekho,E-Commerce,Automobile,Gurugram,Ping An Global Voyager Fund,Series D,70000000,No Remarks
9,10,03-12-2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000,No Remarks
10,11,13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurugram,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000,No Remarks
11,12,17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000,No Remarks
12,13,16-12-2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000,No Remarks
13,14,16-12-2019,InCred,Finance,Non-Banking Financial Company,Mumbai,Unknown,Debt Funding,5900000,No Remarks
14,15,14-12-2019,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2000000,No Remarks
15,16,11-12-2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000,No Remarks
16,17,20-12-2019,Lenskart,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000,No Remarks
17,18,13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000000,No Remarks
18,19,14-11-2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurugram,"Sauce.vc, Rainforest Ventures",Series B,486000,No Remarks
19,20,13-11-2019,Sunstone Eduversity,Education,Elearning,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000,No Remarks
20,21,17-11-2019,Burger Singh,Food and Beverage,Indian Burger Brand,Gurugram,RB Investments,Venture,1750000,No Remarks
21,22,18-11-2019,Healthians,Health and Wellness,Healthcare services,Gurugram,"DG Daiwa Ventures, DG Incubation",Series B,12000000,No Remarks
22,23,15-11-2019,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000,No Remarks
23,24,20-11-2019,Aye Finance,FinTech,Financial Services To MSMEs,Gurugram,FinTech,Debt Funding,17411265,No Remarks
24,25,12-11-2019,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000,No Remarks
25,26,20-11-2019,Clumio,SaaS,Recovery software,San Jose,"Altimeter Capital, Sutter Hill Ventures",Series C,135000000,No Remarks
26,27,11-11-2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,300000,No Remarks
27,28,19-11-2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,New Delhi,Amour Infrastructure,Seed Funding,220000000,No Remarks
28,29,18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000,No Remarks
29,30,15-11-2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Koramangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000,No Remarks
30,31,19-11-2019,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,Seed Funding,200000000,No Remarks
31,32,25-11-2019,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000000,No Remarks
32,33,04-10-2019,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,45000000,No Remarks
33,34,02-10-2019,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,585000000,No Remarks
34,35,21-10-2019,The Man Company,Consumer Goods,Beauty and Grooming,Gurugram,Ayushmann Khurana,Corporate Round,1750000,No Remarks
35,36,05-09-2019,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000,No Remarks
36,37,04-09-2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000,No Remarks
37,38,04-09-2019,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000000,No Remarks
38,39,04-09-2019,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,5000000,No Remarks
39,40,04-09-2019,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000,No Remarks
40,41,04-09-2019,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,1000000,No Remarks
41,42,04-09-2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000,No Remarks
42,43,04-09-2019,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000,No Remarks
